instance_name, model_type, k, b, r, var_num, var_remaining, num_k_core_nodes, lower_bound, upper_bound, remove_y_edges_reduction, remove_y_edges_time, y_saturated_reduction, y_saturated_iterations, y_saturated_run_time, warm_start, additonal_facet_defining, y_val_fix, fractional_callback, total_time
Gowalla_edges, reduced_model, 3, 250, NA, 393182, 292745, 106417, 107299.0, 107303.0, NA, NA, 0, 0, 0, False, False, False, False, 140.25127577781677
com-dblp.ungraph, reduced_model, 3, 250, NA, 634160, 510101, 204031, 204847.0, 204864.0, NA, NA, 0, 0, 0, False, False, False, False, 341.2132155895233
soc-catster.e, reduced_model, 21, 250, NA, 299400, 226642, 78945, 79555.0, 79562.0, NA, NA, 0, 0, 0, False, False, False, False, 383.35361766815186
facebook_combined, reduced_model, 17, 250, NA, 8078, 5599, 2061, 2533.0, 2533.0, 2307, 0.01483297348022461, 0, 0, 0, False, False, False, False, 2.042550802230835
CA-CondMat, reduced_model, 4, 250, NA, 46266, 35418, 13464, 13939.0, 13940.0, 2804, 0.04063582420349121, 0, 0, 0, False, False, False, False, 2.6728198528289795
CA-HepPh, reduced_model, 4, 250, NA, 24016, 17965, 6591, 6978.0, 6978.0, 1282, 0.02256298065185547, 0, 0, 0, False, False, False, False, 1.1451282501220703
Brightkite_edges, reduced_model, 2, 250, NA, 116456, 90569, 34706, 35267.0, 35267.0, 362, 0.07857418060302734, 0, 0, 0, False, False, False, False, 12.952505826950073
socfb-Northeastern19, reduced_model, 33, 250, NA, 27764, 19644, 7008, 7588.0, 7617.0, 8719, 0.07720518112182617, 0, 0, 0, False, False, False, False, 3602.5261566638947
socfb-Syracuse56, reduced_model, 46, 250, NA, 27306, 19221, 6985, 7634.0, 7733.0, 13753, 0.0949392318725586, 0, 0, 0, False, False, False, False, 3603.3654787540436
Gowalla_edges, reduced_model, 3, 250, NA, 393182, 292745, 106417, 107299.0, 107303.0, 5884, 0.3426344394683838, 0, 0, 0, False, False, False, False, 141.51401710510254
com-dblp.ungraph, reduced_model, 3, 250, NA, 634160, 510101, 204031, 204847.0, 204864.0, 12906, 0.4637463092803955, 0, 0, 0, False, False, False, False, 346.59429264068604
soc-catster.e, reduced_model, 21, 250, NA, 299400, 226642, 78945, 79555.0, 79562.0, 15527, 0.6203114986419678, 0, 0, 0, False, False, False, False, 382.903865814209
facebook_combined, reduced_model, 17, 250, NA, 8078, 5599, 2061, 2533.0, 2533.0, NA, NA, 0, 0, 0, True, False, False, False, 2.6833081245422363
CA-CondMat, reduced_model, 4, 250, NA, 46266, 35418, 13464, 13939.0, 13940.0, NA, NA, 0, 0, 0, True, False, False, False, 6.541814804077148
CA-HepPh, reduced_model, 4, 250, NA, 24016, 17965, 6591, 6978.0, 6978.0, NA, NA, 0, 0, 0, True, False, False, False, 2.8682687282562256
Brightkite_edges, reduced_model, 2, 250, NA, 116456, 90569, 34706, 35267.0, 35267.0, NA, NA, 0, 0, 0, True, False, False, False, 24.97443699836731
socfb-Northeastern19, reduced_model, 33, 250, NA, 27764, 19644, 7008, 7587.0, 7620.0, NA, NA, 0, 0, 0, True, False, False, False, 3624.1362476348877
socfb-Syracuse56, reduced_model, 46, 250, NA, 27306, 19221, 6985, 7650.0, 7736.0, NA, NA, 0, 0, 0, True, False, False, False, 3633.593506336212
Gowalla_edges, reduced_model, 3, 250, NA, 393182, 292745, 106417, 107294.0, 107302.94262361749, NA, NA, 0, 0, 0, True, False, False, False, 349.8499586582184
com-dblp.ungraph, reduced_model, 3, 250, NA, 634160, 510101, 204031, 204853.0, 204871.0, NA, NA, 0, 0, 0, True, False, False, False, 652.514808177948
soc-catster.e, reduced_model, 21, 250, NA, 299400, 226642, 78945, 79557.0, 79563.0, NA, NA, 0, 0, 0, True, False, False, False, 716.0367248058319
facebook_combined, reduced_model, 17, 250, NA, 8078, 5599, 2061, 2533.0, 2533.0, NA, NA, 0, 0, 0, False, True, False, False, 2.062908887863159
CA-CondMat, reduced_model, 4, 250, NA, 46266, 35418, 13464, 13939.0, 13940.0, NA, NA, 0, 0, 0, False, True, False, False, 2.7077434062957764
CA-HepPh, reduced_model, 4, 250, NA, 24016, 17965, 6591, 6978.0, 6978.0, NA, NA, 0, 0, 0, False, True, False, False, 1.2541236877441406
Brightkite_edges, reduced_model, 2, 250, NA, 116456, 90569, 34706, 35267.0, 35269.0, NA, NA, 0, 0, 0, False, True, False, False, 13.634928703308105
socfb-Northeastern19, reduced_model, 33, 250, NA, 27764, 19644, 7008, 7586.0, 7616.0, NA, NA, 0, 0, 0, False, True, False, False, 3602.48539352417
socfb-Syracuse56, reduced_model, 46, 250, NA, 27306, 19221, 6985, 7649.0, 7731.0, NA, NA, 0, 0, 0, False, True, False, False, 3603.1971056461334
Gowalla_edges, reduced_model, 3, 250, NA, 393182, 292745, 106417, 107299.0, 107309.0, NA, NA, 0, 0, 0, False, True, False, False, 143.82996010780334
com-dblp.ungraph, reduced_model, 3, 250, NA, 634160, 510101, 204031, 204848.0, 204860.0, NA, NA, 0, 0, 0, False, True, False, False, 348.7073435783386
soc-catster.e, reduced_model, 21, 250, NA, 299400, 226642, 78945, 79556.0, 79562.0, NA, NA, 0, 0, 0, False, True, False, False, 386.92840051651
facebook_combined, reduced_model, 17, 250, NA, 8078, 5599, 2061, 2533.0, 2533.0, NA, NA, 0, 0, 0, False, False, True, False, 2.0727834701538086
CA-CondMat, reduced_model, 4, 250, NA, 46266, 36988, 13464, 13939.0, 13940.0, NA, NA, 0, 0, 0, False, False, True, False, 3.0441477298736572
CA-HepPh, reduced_model, 4, 250, NA, 24016, 18704, 6591, 6978.0, 6978.0, NA, NA, 0, 0, 0, False, False, True, False, 1.2598540782928467
Brightkite_edges, reduced_model, 2, 250, NA, 116456, 91293, 34706, 35267.0, 35267.0, NA, NA, 0, 0, 0, False, False, True, False, 14.943310260772705
socfb-Northeastern19, reduced_model, 33, 250, NA, 27764, 19883, 7008, 7588.0, 7617.0, NA, NA, 0, 0, 0, False, False, True, False, 3602.368526697159
socfb-Syracuse56, reduced_model, 46, 250, NA, 27306, 19426, 6985, 7634.0, 7733.0, NA, NA, 0, 0, 0, False, False, True, False, 3603.3743255138397
Gowalla_edges, reduced_model, 3, 250, NA, 393182, 296649, 106417, 107299.0, 107303.0, NA, NA, 0, 0, 0, False, False, True, False, 161.6944146156311
com-dblp.ungraph, reduced_model, 3, 250, NA, 634160, 511946, 204031, 204847.0, 204864.0, NA, NA, 0, 0, 0, False, False, True, False, 383.13311219215393
soc-catster.e, reduced_model, 21, 250, NA, 299400, 229939, 78945, 79555.0, 79562.0, NA, NA, 0, 0, 0, False, False, True, False, 385.7643291950226
facebook_combined, reduced_model, 17, 250, NA, 8078, 5599, 2061, 2533.0, 2533.0, NA, NA, 0, 0, 0, False, False, False, True, 3.758592128753662
CA-CondMat, reduced_model, 4, 250, NA, 46266, 35418, 13464, 13939.0, 13940.0, NA, NA, 0, 0, 0, False, False, False, True, 5.083519697189331
CA-HepPh, reduced_model, 4, 250, NA, 24016, 17965, 6591, 6978.0, 6978.0, NA, NA, 0, 0, 0, False, False, False, True, 2.072843074798584
Brightkite_edges, reduced_model, 2, 250, NA, 116456, 90569, 34706, 35267.0, 35267.0, NA, NA, 0, 0, 0, False, False, False, True, 2906.419387817383
socfb-Northeastern19, reduced_model, 33, 250, NA, 27764, 19644, 7008, 7582.0, 7648.0, NA, NA, 0, 0, 0, False, False, False, True, 3618.0970640182495
socfb-Syracuse56, reduced_model, 46, 250, NA, 27306, 19221, 6985, 7637.0, 7775.0, NA, NA, 0, 0, 0, False, False, False, True, 3639.5376806259155
Gowalla_edges, reduced_model, 3, 250, NA, 393182, 292745, 106417, 107296.0, 107303.0, NA, NA, 0, 0, 0, False, False, False, True, 150.46192240715027
com-dblp.ungraph, reduced_model, 3, 250, NA, 634160, 510101, 204031, 204843.0, 204863.0, NA, NA, 0, 0, 0, False, False, False, True, 360.10138750076294
soc-catster.e, reduced_model, 21, 250, NA, 299400, 226642, 78945, 79558.0, 79565.0, NA, NA, 0, 0, 0, False, False, False, True, 409.0264184474945
facebook_combined, reduced_model, 17, 250, NA, 8078, 5599, 2061, 2533.0, 2533.0, 2307, 0.015848636627197266, 0, 0, 0, True, True, True, True, 3.816392421722412
CA-CondMat, reduced_model, 4, 250, NA, 46266, 36988, 13464, 13939.0, 13940.0, 2804, 0.04156374931335449, 0, 0, 0, True, True, True, True, 8.045308113098145
CA-HepPh, reduced_model, 4, 250, NA, 24016, 18704, 6591, 6978.0, 6978.0, 1282, 0.02281928062438965, 0, 0, 0, True, True, True, True, 3.5778791904449463
Brightkite_edges, reduced_model, 2, 250, NA, 116456, 91293, 34706, 35266.0, 35267.0, 362, 0.07988762855529785, 0, 0, 0, True, True, True, True, 29.939861536026
socfb-Northeastern19, reduced_model, 33, 250, NA, 27764, 19883, 7008, 7577.0, 7644.0, 8719, 0.07680726051330566, 0, 0, 0, True, True, True, True, 3651.9095191955566
socfb-Syracuse56, reduced_model, 46, 250, NA, 27306, 19426, 6985, 7531.0, 7770.0, 13753, 0.09598398208618164, 0, 0, 0, True, True, True, True, 3633.586698293686
Gowalla_edges, reduced_model, 3, 250, NA, 393182, 296649, 106417, 107290.0, 107300.0, 5884, 0.3347489833831787, 0, 0, 0, True, True, True, True, 398.5092136859894
com-dblp.ungraph, reduced_model, 3, 250, NA, 634160, 511946, 204031, 204851.0, 204869.0, 12906, 0.45906805992126465, 0, 0, 0, True, True, True, True, 697.3129560947418
soc-catster.e, reduced_model, 21, 250, NA, 299400, 229939, 78945, 79559.0, 79566.0, 15527, 0.6128771305084229, 0, 0, 0, True, True, True, True, 722.2336428165436
